x,y,name,action,qty
2,1,s3,pick-up,1
2,1,s3,pick-up,1
1,10,s0,pick-up,1
1,2,c5,deliver,1
1,10,s0,pick-up,1
7,2,s5,pick-up,1
1,2,c5,deliver,1
7,2,s5,pick-up,1
1,2,c5,deliver,1
7,2,s5,pick-up,1
1,2,c5,deliver,1
7,2,s5,pick-up,1
9,10,c1,deliver,1
9,10,c1,deliver,1
1,1,c4,deliver,1
5,13,s6,pick-up,1
9,10,c1,deliver,1
5,13,s6,pick-up,1
5,13,s6,pick-up,1
9,10,c1,deliver,1
9,7,s4,pick-up,1
9,7,s4,pick-up,1
1,1,c4,deliver,1
1,1,c4,deliver,1
1,1,c4,deliver,1
3,18,s2,pick-up,1
9,8,c3,deliver,1
5,4,s1,pick-up,1
9,9,c2,deliver,1
9,10,c1,deliver,1
